lsoa2011,total,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E01010679,1746,330,0,31,198,943,49,2,91,40,62
E01010824,1689,648,5,61,26,567,115,8,62,93,104
E01010840,1664,262,1,37,20,1221,33,0,19,50,21
E01010841,1827,139,0,33,251,1090,203,2,23,41,45
E01010828,1624,1225,1,64,36,192,25,10,25,35,11
E01010829,1650,744,0,53,47,655,39,4,43,40,25
E01010830,1836,787,1,86,39,753,54,7,45,28,36
E01010831,1995,436,0,63,51,1150,63,9,97,47,79
E01010832,1750,526,2,36,59,1023,52,1,30,8,13
E01010672,1301,1093,0,31,28,105,0,15,9,18,2
E01010678,1345,985,0,19,45,224,9,1,34,19,9
E01010799,1518,1140,0,41,28,241,9,6,19,25,9
E01010800,1759,1236,0,89,11,192,13,4,64,108,42
E01010801,1831,824,0,58,64,726,25,7,91,19,17
E01010802,1600,1177,0,107,25,103,5,0,108,56,19
E01010803,1809,317,0,59,68,1248,5,10,48,22,32
E01010810,2055,387,0,54,123,1315,24,2,77,48,25
E01010811,2202,178,3,43,97,1694,16,4,90,40,37
E01010813,1811,284,0,23,105,1170,48,9,74,50,48
E01010618,1704,463,5,42,46,1047,15,8,27,22,29
E01010619,2240,183,5,39,178,1647,50,4,86,25,23
E01010625,1731,633,3,79,49,713,164,6,63,7,14
E01010626,2009,373,2,38,126,1278,63,5,80,26,18
E01010627,1604,590,10,33,155,688,23,4,31,40,30
E01010606,1998,306,4,50,126,1033,292,10,73,39,65
E01010607,2072,212,2,72,117,921,515,13,71,49,100
E01010617,1403,504,2,67,74,404,152,4,60,73,63
E01010842,1945,233,1,93,55,1106,198,14,69,95,81
E01033690,1138,605,2,43,65,58,25,40,34,92,174
E01033691,1524,412,4,45,39,393,346,33,78,85,89
E01033692,1079,493,7,69,61,111,43,12,23,99,161
E01033693,2417,419,1,53,50,817,859,15,27,78,98
E01010628,1727,1111,0,39,115,356,1,7,26,41,31
E01010629,1928,616,7,53,163,886,44,14,46,40,59
E01010630,1574,960,0,55,83,394,9,2,28,15,28
E01010631,1544,938,0,69,43,290,0,18,77,91,18
E01010632,1338,874,0,70,28,206,28,4,86,31,11
E01010658,1989,559,1,91,248,792,10,6,73,57,152
E01010812,2044,421,0,58,87,1180,27,8,64,78,121
E01010833,1663,344,6,55,43,946,21,0,73,77,98
E01010843,2125,90,0,12,45,1756,99,1,54,41,27
E01010620,1826,291,1,50,56,1238,78,4,37,39,32
E01010621,2371,99,0,19,79,1727,341,7,45,13,41
E01010622,2436,236,1,53,56,1774,140,23,82,24,47
E01010623,1682,379,3,57,67,972,55,4,56,21,68
E01010624,2274,135,1,62,80,1700,85,3,128,34,46
E01010794,1835,1355,1,66,78,159,3,7,102,38,26
E01010795,1796,1684,0,36,10,35,0,1,5,14,11
E01010796,1619,1515,0,40,10,33,0,2,4,3,12
E01010797,1406,1337,1,15,12,17,0,1,3,4,16
E01010798,1584,1479,3,44,4,24,3,5,9,7,6
E01010834,3721,1382,5,108,238,844,47,391,181,417,108
E01010835,3196,299,1,34,515,1969,44,16,115,77,126
E01010836,2249,422,2,32,175,1191,24,69,127,149,58
E01010837,2188,127,0,34,210,1598,17,11,97,16,78
E01010838,1920,245,6,49,165,1287,10,2,64,65,27
E01010839,1664,374,5,36,40,1005,26,15,48,46,69
E01010608,1884,155,8,68,116,857,526,3,61,39,51
E01010613,1477,992,4,35,116,219,4,1,29,46,31
E01010730,1568,724,5,124,34,115,65,3,164,196,138
E01010734,1574,995,15,65,38,359,25,0,20,35,22
E01010609,1542,1218,9,56,67,106,8,7,14,39,18
E01010610,1573,1309,9,73,21,53,3,11,12,41,41
E01010611,2210,1390,13,94,114,404,18,28,27,87,35
E01010614,1470,1123,7,55,40,128,54,5,15,33,10
E01010633,1563,1108,2,30,199,122,1,1,40,20,40
E01010634,1488,1414,0,27,5,20,1,4,4,9,4
E01010635,1453,1217,1,49,88,54,2,2,8,16,16
E01010636,1757,1506,0,43,93,47,2,1,18,20,27
E01010637,1883,1144,1,55,174,282,179,5,19,13,11
E01010731,1768,561,3,72,29,554,106,24,44,194,181
E01010732,2066,468,5,118,39,803,87,17,143,208,178
E01010733,1885,537,7,111,41,726,109,13,76,141,124
E01010736,2049,758,18,75,40,746,40,8,91,148,125
E01010737,1734,353,1,37,20,1007,29,4,50,87,146
E01010659,1876,828,6,84,55,777,7,4,73,19,23
E01010662,1376,757,0,40,258,254,1,1,36,21,8
E01010664,1523,703,0,39,297,414,7,5,20,9,29
E01010761,1637,1151,0,65,75,268,3,5,25,18,27
E01033695,1975,1457,0,71,174,207,1,8,11,24,22
E01033696,1533,1290,0,47,80,64,0,5,8,24,15
E01033697,2837,472,2,65,319,1751,13,11,63,33,108
E01010663,1641,727,5,97,50,618,2,16,22,59,45
E01010665,1661,751,0,83,270,464,6,8,22,24,33
E01010666,1551,1025,2,79,22,360,13,0,16,20,14
E01010667,1605,799,14,73,64,512,16,6,23,71,27
E01010735,1776,662,5,113,22,699,28,1,81,117,48
E01010738,2032,401,1,68,87,1166,118,0,59,97,35
E01010739,1789,810,1,128,44,607,32,7,72,72,16
E01010740,1816,301,1,50,140,1090,57,3,77,38,59
E01010744,1825,299,5,53,45,1247,22,1,58,56,39
E01010612,1377,1191,0,70,8,22,6,3,4,69,4
E01010819,1573,1370,8,49,7,17,10,8,8,88,8
E01010820,1525,1352,6,59,3,11,0,1,2,88,3
