age,eth2,bradford,n
68,south_asian,FALSE,22231
68,white,FALSE,524979
69,other,FALSE,23467
69,south_asian,FALSE,19730
69,white,FALSE,519104
70,other,FALSE,22678
70,south_asian,FALSE,18245
70,white,FALSE,521442
71,other,FALSE,21133
71,south_asian,FALSE,16340
71,white,FALSE,535188
72,other,FALSE,18922
72,south_asian,FALSE,14540
72,white,FALSE,548174
73,other,FALSE,17645
73,south_asian,FALSE,13281
73,white,FALSE,598243
74,other,FALSE,15749
74,south_asian,FALSE,11517
74,white,FALSE,594201
75,other,FALSE,14184
75,south_asian,FALSE,10406
75,white,FALSE,443508
76,other,FALSE,13802
76,south_asian,FALSE,9623
76,white,FALSE,465864
77,other,FALSE,12941
77,south_asian,FALSE,9526
77,white,FALSE,422929
78,other,FALSE,12598
78,south_asian,FALSE,9618
78,white,FALSE,389681
79,other,FALSE,11614
79,south_asian,FALSE,8728
79,white,FALSE,328639
80,other,FALSE,11287
80,south_asian,FALSE,8870
80,white,FALSE,305284
81,other,FALSE,11364
81,south_asian,FALSE,8808
81,white,FALSE,307319
82,other,FALSE,10167
82,south_asian,FALSE,7955
82,white,FALSE,291321
83,other,FALSE,9006
83,south_asian,FALSE,7084
83,white,FALSE,269932
84,other,FALSE,8246
84,south_asian,FALSE,6357
84,white,FALSE,246615
85,other,FALSE,7366
85,south_asian,FALSE,5660
85,white,FALSE,220122
86,other,FALSE,6535
86,south_asian,FALSE,4737
86,white,FALSE,196075
87,other,FALSE,5351
87,south_asian,FALSE,4012
87,white,FALSE,171007
88,other,FALSE,4574
88,south_asian,FALSE,3412
88,white,FALSE,152924
89,other,FALSE,3628
89,south_asian,FALSE,2678
89,white,FALSE,133902
90,other,FALSE,13044
90,south_asian,FALSE,8269
90,white,FALSE,506294
0,other,TRUE,689
0,south_asian,TRUE,2400
0,white,TRUE,1646
1,other,TRUE,868
1,south_asian,TRUE,2540
1,white,TRUE,1950
2,other,TRUE,770
2,south_asian,TRUE,2649
2,white,TRUE,1826
3,other,TRUE,802
3,south_asian,TRUE,2511
3,white,TRUE,1817
4,other,TRUE,859
4,south_asian,TRUE,2626
4,white,TRUE,1892
5,other,TRUE,866
5,south_asian,TRUE,2669
5,white,TRUE,1940
6,other,TRUE,805
6,south_asian,TRUE,2773
6,white,TRUE,1863
7,other,TRUE,813
7,south_asian,TRUE,2762
7,white,TRUE,1979
8,other,TRUE,746
8,south_asian,TRUE,2710
8,white,TRUE,2023
9,other,TRUE,791
9,south_asian,TRUE,2717
9,white,TRUE,2018
10,other,TRUE,761
10,south_asian,TRUE,2860
10,white,TRUE,2072
11,other,TRUE,854
11,south_asian,TRUE,3032
11,white,TRUE,2052
12,other,TRUE,813
12,south_asian,TRUE,3000
12,white,TRUE,2002
13,other,TRUE,776
13,south_asian,TRUE,2996
13,white,TRUE,1945
14,other,TRUE,782
14,south_asian,TRUE,3074
14,white,TRUE,1942
15,other,TRUE,735
15,south_asian,TRUE,2865
15,white,TRUE,1878
16,other,TRUE,827
16,south_asian,TRUE,3001
16,white,TRUE,1870
17,other,TRUE,690
17,south_asian,TRUE,3028
17,white,TRUE,1961
18,other,TRUE,702
18,south_asian,TRUE,2852
18,white,TRUE,1755
19,other,TRUE,694
19,south_asian,TRUE,2653
19,white,TRUE,1564
20,other,TRUE,645
20,south_asian,TRUE,2407
20,white,TRUE,1642
21,other,TRUE,634
21,south_asian,TRUE,2473
21,white,TRUE,1832
22,other,TRUE,665
22,south_asian,TRUE,2371
22,white,TRUE,1897
23,other,TRUE,658
23,south_asian,TRUE,2236
23,white,TRUE,1795
24,other,TRUE,596
24,south_asian,TRUE,2218
24,white,TRUE,2111
25,other,TRUE,527
25,south_asian,TRUE,2010
25,white,TRUE,1992
26,other,TRUE,586
26,south_asian,TRUE,2115
26,white,TRUE,1982
27,other,TRUE,530
27,south_asian,TRUE,2105
27,white,TRUE,2116
28,other,TRUE,580
28,south_asian,TRUE,2145
28,white,TRUE,2157
29,other,TRUE,544
29,south_asian,TRUE,2188
29,white,TRUE,2291
30,other,TRUE,558
30,south_asian,TRUE,2007
30,white,TRUE,2399
31,other,TRUE,626
31,south_asian,TRUE,2149
31,white,TRUE,2344
32,other,TRUE,466
32,south_asian,TRUE,2384
32,white,TRUE,2396
33,other,TRUE,565
33,south_asian,TRUE,2431
33,white,TRUE,2368
34,other,TRUE,559
34,south_asian,TRUE,2421
34,white,TRUE,2267
35,other,TRUE,576
35,south_asian,TRUE,2454
35,white,TRUE,2295
36,other,TRUE,512
36,south_asian,TRUE,2448
36,white,TRUE,2264
37,other,TRUE,557
37,south_asian,TRUE,2462
37,white,TRUE,2141
38,other,TRUE,559
38,south_asian,TRUE,2424
38,white,TRUE,2216
39,other,TRUE,512
39,south_asian,TRUE,2478
39,white,TRUE,2155
40,other,TRUE,472
40,south_asian,TRUE,2562
40,white,TRUE,2077
41,other,TRUE,546
41,south_asian,TRUE,2452
41,white,TRUE,2046
42,other,TRUE,462
42,south_asian,TRUE,2362
42,white,TRUE,1904
43,other,TRUE,494
43,south_asian,TRUE,2076
43,white,TRUE,1737
44,other,TRUE,461
44,south_asian,TRUE,2102
44,white,TRUE,1753
45,other,TRUE,473
45,south_asian,TRUE,1847
45,white,TRUE,1827
46,other,TRUE,449
46,south_asian,TRUE,1747
46,white,TRUE,1787
47,other,TRUE,414
47,south_asian,TRUE,1768
47,white,TRUE,1882
48,other,TRUE,405
48,south_asian,TRUE,1745
48,white,TRUE,2014
49,other,TRUE,415
49,south_asian,TRUE,1653
49,white,TRUE,2249
50,other,TRUE,400
50,south_asian,TRUE,1637
50,white,TRUE,2273
51,other,TRUE,417
51,south_asian,TRUE,1481
51,white,TRUE,2295
52,other,TRUE,349
52,south_asian,TRUE,1507
52,white,TRUE,2259
53,other,TRUE,354
53,south_asian,TRUE,1285
53,white,TRUE,2413
54,other,TRUE,376
54,south_asian,TRUE,1078
54,white,TRUE,2418
55,other,TRUE,312
55,south_asian,TRUE,876
55,white,TRUE,2505
56,other,TRUE,285
56,south_asian,TRUE,818
56,white,TRUE,2583
57,other,TRUE,270
57,south_asian,TRUE,695
57,white,TRUE,2573
58,other,TRUE,252
58,south_asian,TRUE,701
58,white,TRUE,2661
59,other,TRUE,217
59,south_asian,TRUE,767
59,white,TRUE,2516
60,other,TRUE,239
60,south_asian,TRUE,734
60,white,TRUE,2460
61,other,TRUE,228
61,south_asian,TRUE,826
61,white,TRUE,2321
62,other,TRUE,206
62,south_asian,TRUE,761
62,white,TRUE,2245
63,other,TRUE,200
63,south_asian,TRUE,714
63,white,TRUE,2245
64,other,TRUE,186
64,south_asian,TRUE,765
64,white,TRUE,2064
65,other,TRUE,136
65,south_asian,TRUE,710
65,white,TRUE,2063
66,other,TRUE,146
66,south_asian,TRUE,700
66,white,TRUE,1809
67,other,TRUE,108
67,south_asian,TRUE,668
67,white,TRUE,1817
68,other,TRUE,129
68,south_asian,TRUE,668
68,white,TRUE,1705
69,other,TRUE,116
69,south_asian,TRUE,595
69,white,TRUE,1659
70,other,TRUE,74
70,south_asian,TRUE,532
70,white,TRUE,1608
71,other,TRUE,91
71,south_asian,TRUE,430
71,white,TRUE,1677
72,other,TRUE,57
72,south_asian,TRUE,311
72,white,TRUE,1831
73,other,TRUE,62
73,south_asian,TRUE,279
73,white,TRUE,1907
74,other,TRUE,62
74,south_asian,TRUE,255
74,white,TRUE,1757
75,other,TRUE,60
75,south_asian,TRUE,182
75,white,TRUE,1136
76,other,TRUE,50
76,south_asian,TRUE,238
76,white,TRUE,1188
77,other,TRUE,37
77,south_asian,TRUE,196
77,white,TRUE,1144
78,other,TRUE,51
78,south_asian,TRUE,229
78,white,TRUE,1017
79,other,TRUE,51
79,south_asian,TRUE,191
79,white,TRUE,875
80,other,TRUE,39
80,south_asian,TRUE,244
80,white,TRUE,906
81,other,TRUE,46
81,south_asian,TRUE,243
81,white,TRUE,874
82,other,TRUE,52
82,south_asian,TRUE,224
82,white,TRUE,861
83,other,TRUE,38
83,south_asian,TRUE,209
83,white,TRUE,835
84,other,TRUE,52
84,south_asian,TRUE,195
84,white,TRUE,716
85,other,TRUE,41
85,south_asian,TRUE,174
85,white,TRUE,639
86,other,TRUE,31
86,south_asian,TRUE,161
86,white,TRUE,599
87,other,TRUE,25
87,south_asian,TRUE,148
87,white,TRUE,513
88,other,TRUE,29
